what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229747101
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229826820
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229840220
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229858724
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354229884369
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229897251
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229898482
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229902216
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229904538
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229914306
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229919227
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354229951628
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354230247899
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354230255058
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354230408950
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354230410195
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354231526672
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1354231751810
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354231810650
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354231810809
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354231810967
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1354231912108
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1354231915446
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1354231919304
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1354231949334
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1354231951865
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1354231956727
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354231970600
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1354231980051
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1354231982623
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1354232007681
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1354232010802
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1354232063427
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354232068430
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354232070037
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354232072989
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292766156
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1354292771237
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292777521
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292783674
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292810965
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292810966
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292811156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292811157
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292811555
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292811557
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292811988
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292820439
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292821062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292825761
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292830701
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292834661
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292834735
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292839718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292881464
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292885159
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292885275
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292886677
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292952168
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354292954042
