what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1353443628078
started,bundle,org.python.pydev,1.5.6.2010033101,"org.python.pydev",1353443628078
started,bundle,org.python.pydev.core,1.5.6.2010033101,"org.python.pydev.core",1353443628078
started,bundle,org.python.pydev.debug,1.5.6.2010033101,"org.python.pydev.debug",1353443628078
started,bundle,org.python.pydev.django,1.5.6.2010033101,"org.python.pydev.django",1353443628078
started,bundle,org.python.pydev.jython,1.5.6.2010033101,"org.python.pydev.jython",1353443628078
started,bundle,org.python.pydev.parser,1.5.6.2010033101,"org.python.pydev.parser",1353443628078
started,bundle,org.python.pydev.refactoring,1.5.6.2010033101,"org.python.pydev.refactoring",1353443628078
started,bundle,org.eclipse.egit.core,0.7.1,"org.eclipse.egit.core",1353443628078
started,bundle,org.eclipse.egit.ui,0.7.1,"org.eclipse.egit.ui",1353443628078
started,bundle,org.eclipse.jgit,0.7.1,"org.eclipse.jgit",1353443628078
os,sysinfo,,,"linux",1353443628081
arch,sysinfo,,,"x86_64",1353443628081
ws,sysinfo,,,"gtk",1353443628081
locale,sysinfo,,,"en_US",1353443628081
processors,sysinfo,,,"8",1353443628081
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353443628081
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1353443628081
java.specification.name,sysinfo,,,"Java Platform API Specification",1353443628081
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353443628081
java.specification.version,sysinfo,,,"1.6",1353443628081
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1353443628081
java.version,sysinfo,,,"1.6.0_16",1353443628081
java.vm.info,sysinfo,,,"mixed mode",1353443628081
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1353443628081
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353443628081
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353443628081
java.vm.specification.version,sysinfo,,,"1.0",1353443628081
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1353443628081
java.vm.version,sysinfo,,,"14.2-b01",1353443628081
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443639696
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1353443640232
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1353443640232
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1353443640232
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1353443640233
stopped,bundle,org.eclipse.photran.ui.vpg,5.0.0.201002011019,"org.eclipse.photran.ui.vpg",1353443640233
stopped,bundle,org.eclipse.photran.core.vpg,5.0.0.201002011019,"org.eclipse.photran.core.vpg",1353443640234
stopped,bundle,org.eclipse.photran.managedbuilder.intel.ui,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.intel.ui",1353443640234
stopped,bundle,org.eclipse.photran.managedbuilder.core,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.core",1353443640234
stopped,bundle,org.eclipse.photran.ui,5.0.0.201002011019,"org.eclipse.photran.ui",1353443640235
stopped,bundle,org.eclipse.photran.cdtinterface,5.0.0.201002011019,"org.eclipse.photran.cdtinterface",1353443640235
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1353443640235
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1353443640235
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb",1353443640236
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.201002161416,"org.eclipse.cdt.dsf",1353443640236
stopped,bundle,org.eclipse.ptp.debug.ui,2.1.0.201002011019,"org.eclipse.ptp.debug.ui",1353443640236
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1353443640236
stopped,bundle,org.eclipse.photran.managedbuilder.ui,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.ui",1353443640236
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1353443640236
stopped,bundle,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui",1353443640236
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.gnu.ui",1353443640236
stopped,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1353443640236
stopped,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1353443640236
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.0.100.201002161416,"org.eclipse.cdt.mylyn.ui",1353443640236
stopped,bundle,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui",1353443640237
stopped,bundle,org.eclipse.photran.core,5.0.0.201002011019,"org.eclipse.photran.core",1353443640240
stopped,bundle,org.eclipse.photran.core.intel,5.0.1.201002011019,"org.eclipse.photran.core.intel",1353443640240
stopped,bundle,org.eclipse.photran.errorparsers.xlf,5.0.0.201002011019,"org.eclipse.photran.errorparsers.xlf",1353443640240
stopped,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1353443640240
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1353443640241
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1353443640241
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1353443640241
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.resources.ui",1353443640241
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1353443640241
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1353443640242
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.help.ui",1353443640242
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1353443640242
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1353443640242
stopped,bundle,com.python.pydev.codecompletion,1.5.6.2010033101,"com.python.pydev.codecompletion",1353443640242
stopped,bundle,com.python.pydev.refactoring,1.5.6.2010033101,"com.python.pydev.refactoring",1353443640242
stopped,bundle,com.python.pydev.analysis,1.5.6.2010033101,"com.python.pydev.analysis",1353443640242
stopped,bundle,com.python.pydev.debug,1.5.6.2010033101,"com.python.pydev.debug",1353443640242
stopped,bundle,com.python.pydev.fastparser,1.5.6.2010033101,"com.python.pydev.fastparser",1353443640243
stopped,bundle,com.python.pydev,1.5.6.2010033101,"com.python.pydev",1353443640243
stopped,bundle,org.python.pydev.django,1.5.6.2010033101,"org.python.pydev.django",1353443640243
stopped,bundle,org.python.pydev.customizations,1.5.6.2010033101,"org.python.pydev.customizations",1353443640243
stopped,bundle,org.python.pydev.debug,1.5.6.2010033101,"org.python.pydev.debug",1353443640243
stopped,bundle,org.python.pydev.refactoring,1.5.6.2010033101,"org.python.pydev.refactoring",1353443640244
stopped,bundle,org.python.pydev.templates,1.5.6.2010033101,"org.python.pydev.templates",1353443640244
stopped,bundle,org.python.pydev,1.5.6.2010033101,"org.python.pydev",1353443640247
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1353443640247
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1353443640247
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1353443640247
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1353443640247
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1353443640262
stopped,bundle,org.eclipse.ptp.ui,3.0.0.201002011019,"org.eclipse.ptp.ui",1353443640262
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1353443640266
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1353443640266
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1353443640266
stopped,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1353443640266
stopped,bundle,org.eclipse.egit.ui,0.7.1,"org.eclipse.egit.ui",1353443640266
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1353443640267
stopped,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1353443640267
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1353443640267
stopped,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1353443640270
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1353443640270
stopped,bundle,org.python.pydev.jython,1.5.6.2010033101,"org.python.pydev.jython",1353443640270
stopped,bundle,org.python.pydev.parser,1.5.6.2010033101,"org.python.pydev.parser",1353443640270
stopped,bundle,org.python.pydev.core,1.5.6.2010033101,"org.python.pydev.core",1353443640270
stopped,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1353443640270
stopped,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1353443640270
stopped,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1353443640270
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1353443640270
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1353443640270
stopped,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1353443640270
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1353443640270
activated,perspective,org.python.pydev,,"org.python.pydev.ui.PythonPerspective",1353443650457
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1353443650458
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1353443650458
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1353443650458
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1353443650458
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1353443650458
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1353443650458
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1353443650458
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1353443650458
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1353443650458
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1353443650458
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1353443650458
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1353443650458
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1353443650458
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1353443650458
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1353443650458
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1353443650458
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1353443650458
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1353443650458
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1353443650458
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1353443650458
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1353443650458
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1353443650458
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1353443650458
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1353443650458
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1353443650458
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1353443650458
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1353443650458
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1353443650458
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1353443650458
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1353443650458
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1353443650458
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1353443650458
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1353443650458
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1353443650458
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1353443650458
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1353443650458
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1353443650458
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1353443650458
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1353443650458
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1353443650458
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1353443650458
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1353443650458
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1353443650458
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1353443650458
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1353443650458
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1353443650458
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1353443650458
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1353443650458
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1353443650458
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1353443650458
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1353443650458
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1353443650458
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1353443650458
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1353443650458
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1353443650458
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1353443650458
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1353443650458
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1353443650458
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1353443650458
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1353443650458
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1353443650458
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1353443650458
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1353443650458
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1353443650458
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1353443650458
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1353443650458
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1353443650458
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1353443650458
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1353443650458
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1353443650458
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1353443650458
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1353443650458
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1353443650458
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1353443650458
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1353443650458
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1353443650458
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1353443650458
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1353443650458
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1353443650458
started,bundle,org.eclipse.photran.core,5.0.0.201002011019,"org.eclipse.photran.core",1353443650458
started,bundle,org.eclipse.photran.core.vpg,5.0.0.201002011019,"org.eclipse.photran.core.vpg",1353443650458
started,bundle,org.eclipse.photran.ui,5.0.0.201002011019,"org.eclipse.photran.ui",1353443650458
started,bundle,com.python.pydev,1.5.6.2010033101,"com.python.pydev",1353443650458
started,bundle,com.python.pydev.analysis,1.5.6.2010033101,"com.python.pydev.analysis",1353443650458
started,bundle,com.python.pydev.codecompletion,1.5.6.2010033101,"com.python.pydev.codecompletion",1353443650458
started,bundle,com.python.pydev.refactoring,1.5.6.2010033101,"com.python.pydev.refactoring",1353443650458
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1353443650458
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1353443650458
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1353443650458
started,bundle,org.python.pydev,1.5.6.2010033101,"org.python.pydev",1353443650459
started,bundle,org.python.pydev.core,1.5.6.2010033101,"org.python.pydev.core",1353443650459
started,bundle,org.python.pydev.debug,1.5.6.2010033101,"org.python.pydev.debug",1353443650459
started,bundle,org.python.pydev.django,1.5.6.2010033101,"org.python.pydev.django",1353443650459
started,bundle,org.python.pydev.jython,1.5.6.2010033101,"org.python.pydev.jython",1353443650459
started,bundle,org.python.pydev.parser,1.5.6.2010033101,"org.python.pydev.parser",1353443650459
started,bundle,org.python.pydev.refactoring,1.5.6.2010033101,"org.python.pydev.refactoring",1353443650459
started,bundle,org.eclipse.egit.core,0.7.1,"org.eclipse.egit.core",1353443650459
started,bundle,org.eclipse.egit.ui,0.7.1,"org.eclipse.egit.ui",1353443650459
started,bundle,org.eclipse.jgit,0.7.1,"org.eclipse.jgit",1353443650459
os,sysinfo,,,"linux",1353443650461
arch,sysinfo,,,"x86_64",1353443650461
ws,sysinfo,,,"gtk",1353443650461
locale,sysinfo,,,"en_US",1353443650461
processors,sysinfo,,,"8",1353443650461
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353443650461
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1353443650461
java.specification.name,sysinfo,,,"Java Platform API Specification",1353443650461
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353443650461
java.specification.version,sysinfo,,,"1.6",1353443650461
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1353443650461
java.version,sysinfo,,,"1.6.0_16",1353443650461
java.vm.info,sysinfo,,,"mixed mode",1353443650461
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1353443650461
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353443650461
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353443650462
java.vm.specification.version,sysinfo,,,"1.0",1353443650462
